title,company,location,link
AI 연구/개발 직군 모집,넷마블,서울 구로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=481f953ccaa4bc96
O2O Platform Backend 개발자,에이치에너지,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=6e8017195f641e67
Lead Technical Solutions Engineer,MightyHive,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=ae2c6294bc277408
데이터 엔지니어,RIDI Corp,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=06eb50aff7a49bfd
"[경력] 물류IT 웹서비스 백엔드 개발자 (Python,Django)",알고랩,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=23664b58af163938
Software Test Engineer for HANA Engine Intelligence Team,SAP,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=8aeedb3a2dba74b6
Data Specialist (Scientist&&Engineer),아우름플래닛,서울 마포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=dd4d8e59a4a9265d
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=e1719c3044cb5bd1
머신러닝/딥러닝,NHN,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=cd8ee27085e6a2ff
Window Desktop Application Developer (C# / .NET),Bepro Company,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=01b7f9d31e668163
데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=c1037225077ca4da
2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=b3dc36f873b9e4e3
2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=b3dc36f873b9e4e3
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=e1719c3044cb5bd1
